,Hotel_Names,Address,City,Ratings,Votes,Prices,Features
322,OYO Rana Residency Near Western Express Highway Metro Station,"Tolany Naka, Sher-e-Punjab Colony",['Mumbai'],['3.3'],['523'],₹1961, Parking facility  Electric Kettle  Free Wifi  
323,OYO Hotel Golden Nest Near Chhatrapati Shivaji International Airport,"Near Bajsons Industries, Andheri East",['Mumbai'],['3.3'],['896'],₹2701, Free Wifi  Geyser  CCTV cameras  
324,Flagship Hotel Prince Palace Near Juhu Beach,"Near City Plaza, Santacruz West",['Mumbai'],['3.5'],['178'],₹2252, Elevator  Free Wifi  Geyser  
325,OYO Flagship Hotel Nine Hills,andheri east,['Mumbai'],['4.1'],['9'],₹1864, Free Wifi  Geyser  Power backup  
326,OYO Flagship Hotel Sai Residency,Jyoti appartment A - wing Sher -E-Punjab,['Mumbai'],['4.0'],['3'],₹1876, Free Wifi  Geyser  Power backup  
327,Super OYO Hotel Divine Residency Near Phoenix Marketcity,"Near Chirag Nagar Police Station, LBS Marg",['Mumbai'],['5.0'],['515'],₹3690, Parking facility  Elevator  Free Wifi  
328,OYO Flagship Hotel Accor Inn Plus,near Ganesh Mandir. Andheri East. Mumbai.,"['Mumbai', 'Mumbai']",['3.4'],['16'],₹1961, Free Wifi  Geyser  Power backup  
329,OYO Flagship 81022 Hotel Bhau Residency,Shop no 3 Andheri Ghatkoper link Road  Opp Disilva Baug beside Hari Masjid Andheri east,['Mumbai'],['3.7'],['42'],₹1961, Elevator  Free Wifi  Geyser  
330,Capital O 6581 HOTEL PARK RESIDENCY,Mumbai,"['Mumbai', 'Mumbai']",['2.9'],['124'],₹2354, Hair Dryer  Parking facility  Public washroom  
331,Capital O 6202 Ashir Inn,"Opp. Seven Hills Hospital, Andheri East",['Mumbai'],['2.7'],['43'],₹2082, Free Wifi  Geyser  Garden/Backyard  
332,OYO Flagship Hotel Nithyanand ,Sakinaka,['Mumbai'],['0.0'],['0'],₹2155, Free Wifi  Geyser  Power backup  
333,Collection O 28342 Hotel Grand Corp Inn,India Mumbai MaharashtraIndia400013,"['Mumbai', 'Mumbai']",['3.7'],['14'],₹2543, Parking facility  Reception  Ticket tour assistance  
334,OYO Flagship Hotel Kishan,Pant Nagar,['Mumbai'],['4.3'],['9'],₹2446, Free Wifi  Geyser  Power backup  
335,Super OYO Malali Residency Near Versova Beach,Opposite To Mc Donald's,['Mumbai'],['4.5'],['249'],₹2932, Reception  Geyser  Caretaker  
336,OYO Flagship Hotel Prime Suite,Goregaon West,['Mumbai'],[],[],₹2446, Free Wifi  Geyser  Power backup  
337,OYO Flagship Sunrise Suites,Mumbai- ,"['Mumbai', 'Mumbai']",['3.8'],['50'],₹3054, AC  TV 
